"subject","Gender","Age","Income","Education","Country","FinancialLiteracy","condition","response"
"R_3JIyh2d630xfpOt","Prefer not to say","21","20000 € - 30000 €","15","Austria",4,"Friend",0
"R_OwDXOQOCls5O33X","Male","33","40000 € - 50000 €","18","Austria",2,"Friend",0
"R_OvtLTu2p45J3k6B","Male","24","Less than 20000€","17","Austria",3,"Friend",0
"R_1OpFOpIQmhS0eBf","Male","40","40000 € - 50000 €","8","Austria",4,"Friend",0
"R_cunQlVIQnmtCafn","Female","19","Less than 20000€","14","Austria",1,"Friend",0
"R_3p6d6IpFAwMvnsE","Male","32","30000 € - 40000 €","12","Austria",3,"Friend",0
"R_1hZ4JZ61XuuYkRC","Female","28","50000 € - 60000 €","17","Austria",3,"Friend",1
"R_2ckeJ5HoW5EaLkU","Female","22","Less than 20000€","7","Austria",2,"Friend",0
"R_1OMFx5818vk9sgC","Female","34","30000 € - 40000 €","12","Austria",3,"Friend",0
"R_12lubvGTUNJrVVc","Male","36","40000 € - 50000 €","11","Austria",3,"Friend",0
"R_3g5TxGf9LXOTHt3","Non-binary / third gender","20","Less than 20000€","15","Austria",0,"Friend",0
"R_vGM7VBZPKHOsBFv","Female","25","Less than 20000€","14","Austria",1,"Friend",0
"R_3EnCbeND5jIV979","Female","29","20000 € - 30000 €","13","Austria",3,"Friend",0
"R_2ahSv1HOS8KhB51","Female","21","20000 € - 30000 €","15","Austria",3,"Friend",0
"R_1FhrwehsMjmy1We","Female","25","30000 € - 40000 €","18","Austria",3,"Friend",0
"R_3nrBd7IDfzXqtf6","Female","31","40000 € - 50000 €","16","Austria",2,"Friend",0
"R_vJoLLhX22duztux","Male","28","20000 € - 30000 €","12","Austria",2,"Friend",0
"R_ClewUGf3mrh5pPX","Female","18","Less than 20000€","11","Austria",0,"Friend",0
"R_2aQbkz18I0858ch","Prefer not to say","54","40000 € - 50000 €","9","Austria",2,"Friend",0
"R_3NwjLpxiQmmJ2TO","Female","31","Less than 20000€","13","Austria",0,"Friend",0
"R_cCmqya32GFr7Kc9","Male","24","20000 € - 30000 €","13","Austria",4,"Friend",0
"R_1CmxxMlbQNCUZR2","Female","24","Less than 20000€","18","Austria",2,"Friend",0
"R_1nONis291E8wyAa","Male","25","Less than 20000€","16","Austria",4,"Friend",0
"R_1DI5iHobmfemjXU","Male","29","20000 € - 30000 €","13","Austria",1,"Friend",0
"R_2zBhITGkdBmS96u","Female","26","Less than 20000€","19","Austria",1,"Friend",1
"R_21H6Vu7VOHjCiWX","Female","22","Less than 20000€","15","Austria",3,"Friend",0
"R_24jgjnLbm48yygp","Female","52","Less than 20000€","15","Austria",3,"Friend",0
"R_8IFgSpgwrQ8LbNL","Female","34","40000 € - 50000 €","16","Austria",3,"Friend",0
"R_1ePt3CigCEVRM9b","Female","25","20000 € - 30000 €","17","Austria",1,"Friend",0
"R_3fE6Fh4a4dGFEx2","Female","35","20000 € - 30000 €","18","Austria",1,"Friend",0
"R_SPfqmGFlbeVJ5MB","Male","18","20000 € - 30000 €","9","Austria",0,"Friend",0
"R_1JUPMw80HTRTIZM","Female","36","50000 € - 60000 €","20","Austria",4,"Friend",0
"R_1NnsRjE2jFu0R1O","Male","23","Less than 20000€","16","Austria",3,"Friend",0
"R_2woWYWV13sQPayp","Female","22","Prefer not to answer","13","Austria",0,"Friend",0
"R_3Jn4tKmL5CERI6q","Female","21","Less than 20000€","14","Austria",4,"Friend",0
"R_3k5GwScRdKftxYY","Male","52","More than 60000 €","14","Austria",3,"Friend",0
"R_2ymxexWUfayfdA2","Female","24","Less than 20000€","17","Austria",3,"Friend",0
"R_3oEDqMHuflI33An","Female","51","More than 60000 €","12","Austria",3,"Friend",1
"R_1LbM0WXdN7nTBIh","Male","18","More than 60000 €","14","Austria",3,"Friend",0
"R_3hstLTCnRMwq8l9","Female","39","30000 € - 40000 €","17","Austria",4,"Friend",0
"R_qO61bBSvpzwJtFD","Female","21","Less than 20000€","14","Austria",2,"Friend",0
"R_etit4k6r7eAJMGZ","Female","21","Less than 20000€","14","Austria",3,"Friend",0
"R_3NWAfiwvZa0IAlv","Female","40","Less than 20000€","15","Austria",3,"Friend",0
"R_2tKnmUHC4BQFW3Z","Female","29","Less than 20000€","17","Austria",3,"Friend",0
"R_1ifIQ1N3Zy7ynoH","Female","23","Less than 20000€","17","Austria",2,"Friend",0
"R_YbiZdXhcwrYYiUF","Female","50","Prefer not to answer","11","Austria",2,"Stranger",1
"R_1puPa4dqnAjWUnB","Male","66","50000 € - 60000 €","18","Austria",4,"Stranger",1
"R_eexGPMWuZPgFuH7","Female","27","20000 € - 30000 €","17","Austria",3,"Stranger",1
"R_1FK6nwfwT9fshfd","Female","22","Less than 20000€","12","Austria",0,"Stranger",1
"R_2VK03IlPZz32bZw","Female","25","Less than 20000€","19","Austria",3,"Stranger",1
"R_3GrkyYBOKbwbJhp","Male","21","Less than 20000€","13","Austria",4,"Stranger",1
"R_1OBJS6nA1YEnpep","Prefer not to say","25","Prefer not to answer","13","Austria",3,"Stranger",1
"R_3qySGrCbpiW1JqM","Female","45","Less than 20000€","13","Austria",0,"Stranger",0
"R_RabPHaUrofh7NKx","Female","24","Less than 20000€","16","Austria",2,"Stranger",0
"R_xhf3dYoTU4SWDOV","Female","61","20000 € - 30000 €","10","Austria",2,"Stranger",1
"R_2wRWezYLSMQyhPe","Male","23","40000 € - 50000 €","6","Austria",2,"Stranger",1
